SourceFile,Title,ImageDescription
1.png,ワインレッドのスーツ,スーツのボタンを留める男性の手
2.png,グレーのスーツコーディネート,マネキンに着せられたスーツとネクタイ
3.png,青いストライプスーツ,腕時計とブレスレットを付けた手元
4.png,会議室の男性,会議室で微笑むスーツの男性
5.png,指をさすジェスチャー,スーツ姿で人差し指を立てる男性
6.png,ビジネスマン2名,スーツ姿の男性2名のポートレート
7.png,キャリアウクウーマン,ビルを背景に立つスーツの女性
8.png,ビジネスの握手,スーツ姿での固い握手
9.png,ネイビーのスーツ,胸ポケットに花を挿した男性
10.png,モノクロポートレート,黒いブレザーを着た女性
11.png,スーツ姿の男性4人組,屋外の道路でポーズをとる、スーツを着た4人の男性
12.png,ツイードのチェック柄スーツ,茶色のチェック柄スリーピーススーツ（ツイード）と赤いネクタイを着用した男性
13.png,女性のモノクロポートレート,黒いブレザーを着て、顔に手を添える女性のモノクロ写真（クローズアップ）
14.png,スーツで椅子に座る女性（モノクロ）,黒いパンツスーツを着てスツールに座る女性のモノクロ写真（手と脚のクローズアップ）
15.png,黒いスーツで歩く男性,モダンなビルの前を歩く、黒いスーツと黒いネクタイの男性
16.png,赤いピンストライプスーツ,赤いピンストライプのスーツに、柄物のネクタイとストライプシャツを合わせた男性
17.png,ティールグリーンのスーツ,ティールグリーン（青緑色）のオーバーサイズスーツを着て歩く人物
18.png,スーツの男性2人（スタジオ）,暗い背景のスタジオでポーズをとる、スタイリッシュなスーツ姿の男性2人
19.png,スーツ袖とカフリンクス,青いスーツの袖口と、特徴的なカフリンクスを付けた白いシャツ（クローズアップ）
20.png,スーツとノートパソコン（モノクロ）,ダブルのスーツを着てノートパソコンを操作する男性のモノクロ写真
21.png,白いコーデュロイジャケット,白いコーデュロイのダブルジャケットを着た人物の胴体
22.png,ケープジャケットとハイウエストパンツ,茶色のケープジャケットを羽織り、白のハイウエストパンツを履いた女性
23.png,ジャケットを羽織る男性,白いシャツの上に、濃いワインレッドのジャケットを羽織る黒人男性
24.png,ピンストライプスーツと蝶ネクタイ,ネイビーのピンストライプスーツに、赤い蝶ネクタイを合わせた男性
25.png,黒いスーツの女性（モノクロ）,黒いブレザーとパンツスーツを着てスツールに座る女性のモノクロ写真
26.png,茶色のブレザーの襟元,茶色のブレザーの襟元のクローズアップ、インナーにニットを着用
27.png,スーツとブートニア（コサージュ）,青いスーツの襟につけられたブートニアとピンクの蝶ネクタイ
28.png,黒いスーツとブーケ,黒いスーツを着て、ピンクと白の花のブーケを持つ人物
29.png,ブラウンの革靴（ブローグ）,カーペットの上に足を組む、ブラウンの革靴とドット柄の靴下
30.png,クリーム色のスーツジャケット,クリーム色のスーツジャケットを着た人物の胴体（屋外）
31.png,タキシード姿の男性,黒のタキシードと蝶ネクタイを着用し、腕時計を付けた男性
32.png,タキシードと蝶ネクタイ,黒いタキシード（またはスーツ）と蝶ネクタイを締めた男性の胸元
33.png,スタイリッシュなスーツの男性2人,スツールに座るチェック柄パンツの男性と、グレーのスーツの男性
34.png,白いスーツの集団,白いスーツを着て整列する人々のグループ
35.png,高級ホテルの客室,ツインベッド、テレビ、デスクが備え付けられた豪華なホテルの部屋
36.png,ソファでスマートフォンを操作する男性,ピンクのジャケットを着てソファに寝そべり、スマートフォンを見る男性（俯瞰撮影）
37.png,ステージ上のタキシードの男性,暗いステージ上に立つ、タキシードとベストを着た男性
38.png,スーツ姿のシニア男性（アジア人）,腕を組んで微笑む、スーツと眼鏡をかけた白髪のアジア人男性
39.png,ウィスキーを飲むスーツの男性,暗い部屋でスーツを着て、ウィスキーのグラスを傾ける男性
4DOM.png,青いダブルのパンツスーツ,青いダブルジャケットのパンツスーツと、茶色のボウタイを付けた女性
41.png,スーツ姿の若い男性（屋外）,屋外の歩道橋で微笑む、スーツ姿の若いアジア人男性
42.png,スーツ姿の男性（腕組み）,近代的なビルを背景に腕_組む、ピンストライプスーツのアジア人男性
43.png,ガッツポーズするスーツの男性,ネイビーのスーツを着てガッツポーズをする男性の胴体
44.png,スーツのボタンを留める手,グレーのスーツジャケットのボタンを留める男性の手のクローズアップ
45.png,ジャケットを羽織る動作,白いシャツの男性が、ピンストライプのジャケットを勢いよく羽織る瞬間
